scripture_order,scripture_number,counts_for,reference,category
1,1-2,2,Exodus 20:2-3,Primary Minimum
2,3,1,Leviticus 20:26,Primary Minimum
3,4,1,James 2:17,Primary Minimum
4,5,1,2 Chronicles 7:14,Primary Minimum
5,6-7,2,Psalms 19:13-14,Primary Minimum
6,8,1,Proverbs 1:7,Primary Minimum
7,9,1,Mark 10:45,Primary Minimum
8,10,1,Luke 19:10,Primary Minimum
9,11,1,John 10:10,Primary Minimum
10,12,1,Romans 1:16,Primary Minimum
11,13,1,Isaiah 12:2,Junior Minimum
12,14-15,2,Lamentations 3:22-23,Junior Minimum
13,16-25,10,Matthew 5:3-12,Junior Minimum
14,26,1,Obadiah 1:15,Competition Scriptures
15,27,1,Acts 1:8,Competition Scriptures
16,28,1,2 Timothy 1:7,Competition Scriptures
17,29-30,2,Proverbs 3:5-6,Competition Scriptures
18,31-32,2,1 Corinthians 16:13-14,Competition Scriptures
19,33,1,Zephaniah 2:3,Competition Scriptures
20,34,1,Psalm 51:10,Competition Scriptures
21,35,1,2 Corinthians 2:14,Competition Scriptures
22,36-39,4,1 Thessalonians 5:19-22,Competition Scriptures
23,40,1,1 Corinthians 13:13,Competition Scriptures
24,41-42,2,Hebrews 12:1-2,Competition Scriptures
25,43,1,Matthew 5:16,Competition Scriptures
26,44,1,Zephaniah 3:17,Competition Scriptures
27,45-46,2,Proverbs 16:3-4,Competition Scriptures
28,47,1,Matthew 19:26,Competition Scriptures
29,48-49,2,Proverbs 16:18-19,Competition Scriptures
30,50,1,Ephesians 2:10,Competition Scriptures
31,51-52,2,Galatians 5:22-23,Competition Scriptures
